id,name,close ,up,up%,vol,fi_buy,fi_sell,fi_net,fi_ho,hi_hora,tr_buy,tr_sell,tr_net,se_buy,se_sell,se_net,ma_buy,ma_sell,ma_net
1,18'04/12,86.8,-0.5,-0.57,"39,294","4,747","28,656","-23,908","7,917,415",45.7,0,260,-260,642,"1,333",-691,"5,389","30,249","-24,859"
2,18'04/13,87,0.2,0.23,"26,216","6,700","15,992","-9,292","7,910,573",45.6,27,0,27,703,682,21,"7,430","16,674","-9,244"
3,18'04/16,87.6,0.6,0.69,"25,625","6,307","10,365","-4,058","7,901,026",45.6,0,61,-61,993,370,623,"7,300","10,796","-3,496"
4,18'04/17,86.5,-1.1,-1.26,"42,604","7,894","27,307","-19,413","7,882,733",45.5,13,454,-441,299,"1,602","-1,303","8,206","29,363","-21,157"
5,18'04/18,84.8,-1.7,-1.97,"74,089","12,486","23,636","-11,149","7,872,377",45.4,11,859,-848,443,"4,591","-4,148","12,940","29,086","-16,145"
6,18'04/19,85,0.2,0.24,"69,795","20,283","26,880","-6,597","7,850,575",45.3,0,220,-220,"2,498","2,195",303,"22,781","29,295","-6,514"
7,18'04/20,84,-1,-1.18,"31,409","6,833","14,541","-7,708","7,844,569",45.3,11,0,11,117,"1,229","-1,112","6,961","15,770","-8,809"
8,18'04/23,83,-1,-1.19,"45,408","6,769","20,718","-13,949","7,831,462",45.2,16,873,-857,182,"1,453","-1,271","6,967","23,044","-16,077"
9,18'04/24,80.6,-2.4,-2.89,"71,954","8,518","29,017","-20,499","7,818,433",45.1,40,216,-176,435,"1,515","-1,080","8,993","30,748","-21,755"
10,18'04/25,80.4,-0.2,-0.25,"50,379","7,204","22,188","-14,984","7,803,925",45,99,"1,045",-946,802,499,303,"8,105","23,732","-15,627"
11,18'04/26,80.6,0.2,0.25,"38,296","11,857","17,817","-5,959","7,796,252",45,10,0,10,439,452,-13,"12,306","18,269","-5,962"
12,18'04/27,81.5,0.9,1.12,"27,813","11,834","15,999","-4,165","7,789,898",45,250,0,250,626,135,491,"12,710","16,134","-3,424"
13,18'04/30,82.9,1.4,1.72,"29,947","10,014","11,298","-1,283","7,786,716",44.9,0,0,0,"1,357",242,"1,115","11,371","11,540",-168
14,18'05/02,81.8,-1.1,-1.33,"37,067","12,406","25,927","-13,521","7,771,996",44.8,288,0,288,241,722,-481,"12,935","26,649","-13,714"
15,18'05/03,80.1,-1.7,-2.08,"50,884","10,483","40,503","-30,020","7,739,071",44.7,333,44,289,792,525,267,"11,608","41,072","-29,464"
16,18'05/04,80.4,0.3,0.37,"25,107","9,568","16,352","-6,784","7,731,472",44.6,10,50,-40,371,393,-22,"9,949","16,795","-6,846"
17,18'05/07,81.6,1.2,1.49,"26,861","9,251","13,970","-4,719","7,727,598",44.6,0,25,-25,"1,236",513,723,"10,487","14,508","-4,021"
18,18'05/08,82.6,1,1.23,"28,773","17,998","13,804","4,194","7,731,163",44.6,1,0,1,623,583,40,"18,622","14,387","4,235"
19,18'05/09,81.8,-0.8,-0.97,"31,879","13,031","21,221","-8,190","7,721,628",44.6,0,0,0,432,953,-521,"13,463","22,174","-8,711"
20,18'05/10,82.9,1.1,1.34,"25,512","14,512","10,425","4,087","7,728,420",44.6,16,0,16,520,754,-234,"15,048","11,179","3,869"
21,18'05/11,85,2.1,2.53,"47,534","23,778","6,030","17,748","7,745,561",44.7,0,82,-82,"3,470",475,"2,995","27,248","6,587","20,661"
22,18'05/14,89,4,4.71,"128,445","51,853","19,086","32,767","7,778,035",44.9,"2,352",20,"2,332","4,521","1,915","2,606","58,726","21,021","37,705"
23,18'05/15,86,-3,-3.37,"72,739","25,357","18,431","6,926","7,784,750",44.9,0,19,-19,"1,406","4,345","-2,939","26,763","22,795","3,968"
24,18'05/16,84.6,-1.4,-1.63,"55,360","16,074","22,792","-6,718","7,769,585",44.8,0,"1,309","-1,309","1,664","1,481",183,"17,738","25,582","-7,844"
25,18'05/17,84.2,-0.4,-0.47,"28,342","11,221","13,374","-2,153","7,767,582",44.8,11,0,11,"1,219",591,628,"12,451","13,965","-1,514"
26,18'05/18,83.9,-0.3,-0.36,"23,938","8,998","12,031","-3,033","7,764,584",44.8,9,33,-24,736,526,210,"9,743","12,590","-2,847"
27,18'05/21,85,1.1,1.31,"23,999","9,124","8,212",912,"7,765,263",44.8,0,0,0,"2,870",254,"2,616","11,994","8,466","3,528"
28,18'05/22,84,-1,-1.18,"25,590","7,568","14,123","-6,555","7,758,398",44.8,0,0,0,509,"1,315",-806,"8,077","15,438","-7,361"
29,18'05/23,83.6,-0.4,-0.48,"20,057","10,011","9,031",980,"7,759,430",44.8,0,0.02,-0.02,614,856,-242,"10,625","9,887",738
30,18'05/24,84.1,0.5,0.6,"22,938","11,728","12,403",-675,"7,758,906",44.8,0,18,-18,976,292,684,"12,704","12,713",-8.56
31,18'05/25,86.5,2.4,2.85,"50,653","21,939","8,759","13,180","7,772,251",44.8,0,0,0,"6,620",991,"5,629","28,559","9,750","18,809"
32,18'05/28,88.8,2.3,2.66,"65,485","32,222","8,732","23,490","7,795,911",45,250,0,250,240,453,-213,"32,712","9,185","23,527"
33,18'05/29,87.6,-1.2,-1.35,"42,303","21,141","16,953","4,188","7,799,526",45,0,14,-14,872,"4,753","-3,881","22,013","21,720",293
34,18'05/30,87.4,-0.2,-0.23,"39,292","19,356","22,478","-3,122","7,796,682",45,28,18,10,"2,246","1,309",937,"21,630","23,805","-2,175"
35,18'05/31,85.7,-1.7,-1.95,"83,601","61,126","70,600","-9,474","7,790,673",45,28,0,28,"1,423","1,276",147,"62,577","71,876","-9,299"
36,18'06/01,86.6,0.9,1.05,"21,701","11,959","10,878","1,081","7,792,154",45,18,2,16,329,804,-475,"12,306","11,684",622
37,18'06/04,87.8,1.2,1.39,"35,011","14,413","17,187","-2,773","7,789,381",45,20,0,20,"3,598",686,"2,912","18,031","17,873",159
38,18'06/05,88.1,0.3,0.34,"32,115","15,206","14,168","1,038","7,790,188",45,28,0,28,"2,088",976,"1,112","17,322","15,144","2,178"
39,18'06/06,89.1,1,1.14,"46,432","25,095","10,741","14,353","7,805,417",45,110,23,87,"5,277",717,"4,560","30,482","11,481","19,000"
40,18'06/07,91.2,2.1,2.36,"90,022","36,230","19,673","16,556","7,818,551",45.1,325,0.02,325,"11,899","1,826","10,073","48,454","21,499","26,954"
41,18'06/08,88.3,-2.9,-3.18,"100,335","26,853","40,447","-13,594","7,800,178",45,65,26,39,"2,101","13,707","-11,606","29,019","54,180","-25,161"
42,18'06/11,87.4,-0.9,-1.02,"40,060","14,213","14,350",-137,"7,795,149",45,27,4,23,"3,930","2,119","1,811","18,170","16,473","1,697"
43,18'06/12,87.7,0.3,0.34,"45,277","23,122","23,106",15.9,"7,790,468",45,0,9,-9,835,"2,351","-1,516","23,957","25,466","-1,509"
44,18'06/13,87.8,0.1,0.11,"28,052","16,284","11,297","4,987","7,796,673",45,26,32,-6,494,"1,908","-1,414","16,804","13,237","3,567"
45,18'06/14,85.5,-2.3,-2.62,"63,053","16,496","34,887","-18,391","7,775,415",44.9,50,507,-457,400,"3,669","-3,269","16,946","39,063","-22,117"
46,18'06/15,85,-0.5,-0.58,"55,145","26,652","38,218","-11,566","7,771,851",44.8,80,756,-676,431,"2,590","-2,159","27,163","41,564","-14,401"
47,18'06/19,83,-2,-2.35,"66,101","19,298","46,684","-27,386","7,747,568",44.7,0,0,0,381,"3,308","-2,927","19,679","49,992","-30,313"
48,18'06/20,83,0,0,"47,644","17,612","24,606","-6,994","7,739,744",44.7,1.02,12,-11,"2,888","1,305","1,583","20,501","25,923","-5,422"
49,18'06/21,82.7,-0.3,-0.36,"30,789","12,695","18,835","-6,140","7,729,973",44.6,0,10,-10,764,"1,120",-356,"13,459","19,965","-6,506"
50,18'06/22,82.3,-0.4,-0.48,"33,349","9,002","17,964","-8,963","7,721,667",44.6,0,338,-338,"1,445","1,518",-73,"10,447","19,820","-9,374"
51,18'06/25,81.5,-0.8,-0.97,"35,870","9,854","22,902","-13,048","7,706,688",44.5,0,50,-50,455,834,-379,"10,309","23,786","-13,477"
52,18'06/26,81,-0.5,-0.61,"41,777","10,201","21,691","-11,490","7,691,827",44.4,0,170,-170,"1,319",572,747,"11,520","22,433","-10,913"
53,18'06/27,80.9,-0.1,-0.12,"32,924","8,147","22,920","-14,772","7,673,403",44.3,22,9,13,"1,010","1,260",-250,"9,179","24,189","-15,009"
54,18'06/28,80.5,-0.4,-0.49,"28,262","9,094","18,890","-9,796","7,664,428",44.2,10,0,10,759,911,-152,"9,863","19,801","-9,938"
55,18'06/29,83.2,2.7,3.35,"39,735","21,622","19,296","2,326","7,665,318",44.2,0,11,-11,"1,474",717,757,"23,096","20,024","3,072"
56,18'07/02,81,-2.2,-2.64,"34,168","10,216","19,732","-9,516","7,655,831",44.2,14,15,-1,771,"1,553",-782,"11,001","21,300","-10,299"
57,18'07/03,80.7,-0.3,-0.37,"23,993","5,628","13,514","-7,885","7,642,038",44.1,50,551,-501,283,413,-130,"5,961","14,478","-8,516"
58,18'07/04,81.6,0.9,1.12,"17,453","8,483","5,890","2,593","7,644,785",44.1,0,23,-23,"1,659",445,"1,214","10,142","6,358","3,784"
59,18'07/05,81.2,-0.4,-0.49,"17,474","10,438","8,228","2,210","7,648,095",44.1,18,0,18,399,"1,583","-1,184","10,855","9,811","1,044"
60,18'07/06,80.5,-0.7,-0.86,"39,279","11,721","26,226","-14,505","7,633,590",44,30,3,27,"1,087",881,206,"12,838","27,110","-14,272"
61,18'07/09,80.8,0.3,0.37,"23,838","13,169","14,160",-991,"7,632,662",44,0,0,0,"1,525",424,"1,101","14,694","14,584",110
